         455364325 function calls (455357937 primitive calls) in 1357.263 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      211    0.003    0.000    0.070    0.000 session.py:657(send)
      422    0.003    0.000    0.003    0.000 {method 'isoformat' of 'datetime.datetime' objects}
      844    0.003    0.000    0.017    0.000 __init__.py:183(dumps)
  235/227    0.002    0.000    0.004    0.000 traitlets.py:1142(notify_change)
      706    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      234    0.002    0.000    0.056    0.000 traitlets.py:1407(traits)
      101    0.002    0.000    0.171    0.002 _tqdm.py:900(__iter__)
      210    0.002    0.000    0.096    0.000 comm.py:61(_publish_msg)
      844    0.002    0.000    0.020    0.000 jsonapi.py:31(dumps)
      211    0.002    0.000    0.030    0.000 session.py:598(serialize)
      211    0.002    0.000    0.155    0.001 widget.py:590(notify_change)
      234    0.002    0.000    0.002    0.000 {method 'sort' of 'list' objects}
      844    0.002    0.000    0.014    0.000 encoder.py:182(encode)
      403    0.002    0.000    0.003    0.000 traitlets.py:486(_dynamic_default_callable)
      101    0.002    0.000    0.005    0.000 _tqdm.py:197(format_meter)
      102    0.001    0.000    0.162    0.002 _tqdm_notebook.py:120(print_status)
      211    0.001    0.000    0.006    0.000 session.py:583(sign)
      223    0.001    0.000    0.011    0.000 iostream.py:195(schedule)
      211    0.001    0.000    0.018    0.000 session.py:121(new_id)
      844    0.001    0.000    0.001    0.000 encoder.py:104(__init__)
  210/205    0.001    0.000    0.067    0.000 widget.py:486(get_state)
      844    0.001    0.000    0.021    0.000 session.py:102(<lambda>)
      211    0.001    0.000    0.001    0.000 {method 'replace' of 'datetime.datetime' objects}
     1129    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
     1055    0.001    0.000    0.001    0.000 {method 'update' of '_hashlib.HASH' objects}
      557    0.001    0.000    0.003    0.000 traitlets.py:1439(trait_metadata)
  534/530    0.001    0.000    0.004    0.000 traitlets.py:587(_validate)
      308    0.001    0.000    0.002    0.000 traitlets.py:596(_cross_validate)
      211    0.001    0.000    0.024    0.000 session.py:564(msg)
      331    0.001    0.000    0.005    0.000 traitlets.py:516(instance_init)
      233    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
       19    0.001    0.000    0.008    0.000 traitlets.py:961(setup_instance)
  263/255    0.001    0.000    0.160    0.001 traitlets.py:558(set)
      422    0.001    0.000    0.005    0.000 jsonutil.py:87(date_default)
      104    0.001    0.000    0.001    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      202    0.001    0.000    0.147    0.001 widget.py:472(send_state)
      101    0.001    0.000    0.005    0.000 _tqdm.py:884(__repr__)
      211    0.001    0.000    0.022    0.000 session.py:561(msg_header)
     1065    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
1063/1056    0.001    0.000    0.004    0.000 {method 'join' of 'str' objects}
  214/210    0.001    0.000    0.001    0.000 widget.py:71(_separate_buffers)
      633    0.001    0.000    0.001    0.000 {method 'copy' of '_hashlib.HASH' objects}
      202    0.001    0.000    0.002    0.000 widget.py:637(_should_send_property)
      211    0.001    0.000    0.001    0.000 hmac.py:95(copy)
  235/227    0.001    0.000    0.156    0.001 traitlets.py:1133(_notify_trait)
      845    0.001    0.000    0.001    0.000 py3compat.py:188(iteritems)
      211    0.001    0.000    0.001    0.000 {built-in method utcnow}
      633    0.001    0.000    0.001    0.000 session.py:132(<genexpr>)
      201    0.001    0.000    0.002    0.000 _tqdm.py:153(format_interval)
      225    0.001    0.000    0.001    0.000 threading.py:1104(is_alive)
      202    0.001    0.000    0.093    0.000 widget.py:726(_send)
      104    0.000    0.000    0.001    0.000 _tqdm.py:97(acquire)
      211    0.000    0.000    0.011    0.000 iostream.py:260(send_multipart)
      422    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
